# From Nucl.Phys. A367 (1981) 237-268 smoothed curves via Scan
46.139    |	0.0605
47.999    |	0.2695
50.162    |	0.398
54.058    |	0.5935
57.885    |	0.736
61.042    |	0.8151
65.158    |	0.8913
68.191    |	0.9403
71.674    |	0.9903
75.342    |	1.0408
78.268    |	1.0766
83.144    |	1.132
86.558    |	1.1586
91.922    |	1.2015
95.498    |	1.234
99.660    |	1.2621
102.651   |	1.278
105.414   |	1.3015
110.129   |	1.3295
113.380   |	1.3456
118.258   |	1.3661
121.834   |	1.3881
125.690   |	1.3951
128.988   |	1.4066
132.686   |	1.4265
135.166   |	1.4341
