# From Nucl.Phys. A367 (1981) 237-268 smoothed curves via Scan
58.466      |	 0.08557
62.292      |	 0.18942
65.342      |	 0.26728
69.187      |	 0.35242
73.225      |	 0.43657
76.173      |	 0.48414
80.885      |	 0.56528
84.094      |	 0.61071
88.036      |	 0.64714
91.449      |	 0.69085
96.487      |	 0.75128
100.063     |	 0.78342
105.264     |	 0.83114
108.352     |	 0.86228
113.066     |	 0.90014
116.154     |	 0.92642
120.998     |	 0.966
124.281     |	 0.99242
129.321     |	 1.02242
132.247     |	 1.04028
