# From Nuclear Physics, Section A, Vol.159, p.561 (1970) via EXFOR
13.790    |	    2.00
14.050    |	    2.00
14.280    |	    8.00
14.580    |	   21.00
14.800    |	   46.00
15.080    |	   61.00
15.370    |	   63.00
15.660    |	   80.00
15.950    |	   82.00
16.210    |	   88.00
16.530    |	   92.00
16.790    |	   90.00
17.050    |	   90.00
17.330    |	   80.00
17.600    |	   82.00
17.860    |	   78.00
18.130    |	   78.00
18.400    |	   67.00
18.660    |	   71.00
18.900    |	   63.00
19.200    |	   65.00
19.460    |	   54.00
19.740    |	   48.00
20.030    |	   50.00
20.280    |	   52.00
20.550    |	   46.00
20.850    |	   48.00
21.120    |	   38.00
21.360    |	   46.00
21.670    |	   52.00
21.920    |	   44.00
22.200    |	   44.00
22.490    |	   34.00
22.740    |	   34.00
23.020    |	   39.00
23.310    |	   39.00
23.560    |	   34.00
24.150    |	   32.00
24.400    |	   40.00
24.700    |	   31.00
25.260    |	   17.00
25.820    |	   21.00
26.330    |	    6.00
