# From Nuclear Physics, Section A, Vol.159, p.561 (1970) via EXFOR
8.080	|   5.30	 
8.350	|   22.30      
8.620	|   29.40      
8.890	|   39.90      
9.160	|   49.60      
9.440	|   53.70      
9.710	|   73.60      
9.980	|   94.40      
10.250   |   94.10	
10.520   |  111.70	
10.800   |  148.70	
11.070   |  174.10	
11.340   |  204.50	
11.610   |  263.60	
11.880   |  312.60	
12.160   |  355.60	
12.430   |  413.50	
12.700   |  464.40	
12.970   |  506.40	
13.240   |  524.90	
13.520   |  529.20	
13.790   |  526.80	
14.060   |  509.40	
14.330   |  496.10	
14.600   |  457.00	
14.880   |  420.70	
15.420   |  325.20	
15.690   |  276.20	
15.960   |  231.70	
16.240   |  199.10	
16.510   |  166.20	
16.780   |  117.10	
17.050   |  103.10	
17.320   |   90.60	
17.600   |   79.50	
17.870   |   69.70	
18.140   |   61.30	
18.410   |   54.20	
18.680   |   48.30	
18.960   |   43.60	
19.230   |   39.90	
19.500   |   37.00	
19.770   |   35.00	
