#From Nuclear Physics, Section A, Vol.133, p.417 (1969) via EXFOR
8.89	|   1.2     
9.16	|   9.1     
9.44	|   21.1    
9.71	|   21.7    
9.98	|   30      
10.25	|   38.9    
10.52	|   45.4    
10.8	|   46.5    
11.07	|   56.8    
11.34	|   69      
11.61	|   76      
11.88	|   90.3    
12.16	|   104.2   
12.43	|   129.3   
12.7	|   148.8   
12.97	|   169.4   
13.24	|   200.4   
13.52	|   220.3   
13.79	|   250     
14.06	|   272.1   
14.33	|   296.3   
14.6	|   300.7   
14.88	|   309.1   
15.15	|   301.4   
15.42	|   300.5   
15.69	|   285.3   
15.96	|   281     
16.24	|   258.6   
16.51	|   236     
16.78	|   209.4   
17.05	|   188.7   
17.32	|   170     
17.6	|   133.7   
17.87	|   110.2   
18.14	|   88.8    
18.41	|   78.7    
18.68	|   60      
18.96	|   49.6    
19.23	|   40.5    
19.5	|   39.5    
19.77	|   30.5    
20.04	|   30.3    
20.32	|   20.8    
20.59	|   14.5    
20.86	|   13.4    
21.13	|   13.6    
21.4	|   10.3    
21.68	|   9.1     
21.95	|   3.7     
22.22	|   4	    
22.49	|   0.8     
